"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "uniprot" "chr"
"evgLocus_224353" 287.246789772197 -5.3216205000392 0.582389194942975 -9.1375673625955 6.38728929321893e-20 3.73368995635112e-16 "DSX_DROME" "chr_08"
"evgLocus_607507" 2712.5352368748 -3.09657682832232 0.363922291019495 -8.50889573059 1.75597657220324e-17 6.84304070187603e-14 "." "chr_Z"
"evgLocus_185744" 1027.18471647984 -5.52686559481014 0.662530542628986 -8.34205404762019 7.30110676597942e-17 2.13393098002664e-13 "." "chr_13"
"evgLocus_35053" 2080.28818747323 -3.66960842185753 0.449694048536197 -8.16023346051053 3.3437765697791e-16 7.81841837545749e-13 "EFHD2_DROME" "chr_05"
"evgLocus_462821" 211.285437154856 -9.04681043134521 1.12044361542088 -8.0743111985576 6.78586085508502e-16 1.32222498761332e-12 "." NA
"evgLocus_90741" 589.54091975841 -5.59909317277978 0.696892385514919 -8.03437272261589 9.40588609128003e-16 1.57091734704507e-12 "." "chr_10"
"evgLocus_59976" 588.490805336372 -5.28572145954118 0.673227227414084 -7.85131861027669 4.11685612346624e-15 6.01627061743047e-12 "." "chr_10"
"evgLocus_271036" 75.4405422576197 -6.56952250823335 0.857494484222655 -7.66130001896027 1.84060313818772e-14 2.39094347650584e-11 "GAGXE_DROME" NA
"evgLocus_685907" 2095.78006798635 4.08857507821511 0.542823624527296 7.53205073153465 4.9949542819673e-14 5.83960105104797e-11 "." "chr_04"
"evgLocus_386155" 8099.27273704813 5.56229542701191 0.742382093723898 7.49249675340445 6.75756015013128e-14 7.18205779228952e-11 "CUA3A_TENMO" "chr_03"
"evgLocus_642428" 18357.7505939715 4.59054048141527 0.621516068703999 7.38603668121981 1.51270078045037e-13 1.47374873535377e-10 "." NA
"evgLocus_125549" 125.826257672854 -4.62536269202397 0.634724742567296 -7.28719456140245 3.16475723650119e-13 2.84609052707196e-10 "RPAB4_HUMAN" "chr_10"
"evgLocus_344241" 101.326291462175 -6.9286038853557 0.9688852556835 -7.15110880747991 8.60797229710612e-13 7.18827172324769e-10 "." "chr_10"
