"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "uniprot" "chr"
"evgLocus_447277" 2320.19123960374 11.5516560735447 1.03652865082081 11.1445603210264 7.611931701167e-29 1.00614513226025e-24 "." "chr_19"
"evgLocus_478956" 5836.55101111861 12.3496157603683 1.16869842524412 10.5669824598152 4.2391557841051e-26 2.80165805771506e-22 "." "chr_23"
"evgLocus_285449" 2587.91961361144 11.6967408950889 1.11987037381591 10.4447275046957 1.54899593173955e-25 6.82487607524447e-22 "." "chr_05"
"evgLocus_747079" 138942.790896329 13.0895347489824 1.26114100401596 10.3791207385219 3.08604248285406e-25 1.01978273845912e-21 "." "chr_23"
"evgLocus_476971" 53701.7525447823 12.5649537793935 1.25966946442976 9.97480222725054 1.96492517729732e-23 4.32873016558599e-20 "." "chr_23"
"evgLocus_689107" 1408.40914384728 10.2891940075046 1.0301935340028 9.98763209814187 1.72656802130706e-23 4.32873016558599e-20 "." "chr_23"
"evgLocus_545668" 2016.32692253261 12.1695511084045 1.23214532745298 9.8767173297331 5.25254173816754e-23 9.91829952787122e-20 "." "chr_23"
"evgLocus_750094" 799.649856187642 10.3644769714147 1.10003307580416 9.42196848384583 4.42709129150134e-21 7.3146615863831e-18 "." "chr_23"
"evgLocus_542749" 4591.51061284585 10.8405247316288 1.19092311838933 9.10262347269753 8.81756781010644e-20 1.29500679237763e-16 "." "chr_23"
"evgLocus_472231" 263.178318791783 9.23617958421214 1.05268860075315 8.77389531681455 1.7258968563111e-18 2.28129046467201e-15 "." "chr_05"
"evgLocus_540122" 250.502663585698 9.16381863206539 1.07350704037924 8.5363377112348 1.38543043535444e-17 1.66478359041046e-14 "." "chr_23"
"evgLocus_613084" 28430.9032918254 11.6491022064656 1.42266797524441 8.18820863980181 2.65142896683535e-16 2.69589139104843e-13 "." "chr_23"
"evgLocus_657902" 60.4640227039668 -5.01787211651488 0.61275186126832 -8.18907690647974 2.63237299378801e-16 2.69589139104843e-13 "." NA
"evgLocus_479805" 411.243380189765 8.69968089937291 1.06466409339659 8.17129172790863 3.0510486079672e-16 2.88062575000789e-13 "." "chr_05"
"evgLocus_522346" 418.32899072725 8.0712843308171 1.0205513338673 7.90874898985397 2.59988222538175e-15 2.29101621700639e-12 "." "chr_23"
"evgLocus_123477" 250.954901231455 -6.16909638560452 0.785340974671923 -7.85530945737507 3.98786312034991e-15 3.29447342029907e-12 "." NA
