"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "uniprot" "chr"
"evgLocus_121049" 31652.3017840265 -8.48510597358814 0.804249617725414 -10.5503388333411 5.06142345725603e-26 6.56162936998672e-22 "LSD2_DROME" "chr_10"
"evgLocus_120776" 525.05088657931 -8.74681411685044 0.962956087595238 -9.08329489737543 1.05336735040539e-19 6.82792716532774e-16 "PRS6B_MANSE" "chr_16"
"evgLocus_25259" 178.261843977185 -8.00505264704634 0.983001681450661 -8.14347808157654 3.84082065726988e-16 1.65974663336156e-12 "PRS6B_MANSE" "chr_16"
"evgLocus_724620" 606.815681682479 -10.3435067003929 1.29507113716415 -7.98682512764695 1.3845827900377e-15 4.48743282251218e-12 "L2EFL_DROME" NA
"evgLocus_206585" 112.267490825446 8.04236757550018 1.01571954583641 7.91790175591982 2.41552099725288e-15 6.26296284167726e-12 "GLYG_RAT" "chr_10"
"evgLocus_145026" 1159.61554244294 -7.20292497205174 0.954294036865698 -7.54790944278471 4.42300275592608e-14 9.55663462130427e-11 "PSB7_RAT" "chr_01"
"evgLocus_167506" 61.8455815407038 5.81662231915908 0.819778717130741 7.09535658539355 1.29018386059529e-12 2.38942050982249e-09 "FAS2_DROME" "chr_16"
"evgLocus_373550" 185.255959961716 -8.63380108204538 1.24559820878105 -6.93144950047294 4.16550155871848e-12 6.75019527590329e-09 "CATB_RAT" "chr_15"
"evgLocus_131747" 133.79648497122 -3.64189680399053 0.538778307268892 -6.75954609689388 1.38424714398128e-11 1.99393110828592e-08 "VCP_APIME" "chr_01"
"evgLocus_143264" 149.606969252375 -8.32213340267728 1.24583358359244 -6.67997195795594 2.38987975396356e-11 2.97897751855611e-08 "MOT14_MOUSE" "chr_15"
"evgLocus_737400" 265.302900692346 -9.14805629759698 1.3711625029165 -6.67175209221286 2.52767299476375e-11 2.97897751855611e-08 "L2EFL_DROME" "chr_28"
"evgLocus_447088" 98.6182338130128 6.27468450131356 0.968298067143169 6.48011672668744 9.16516856556849e-11 9.90143710700249e-08 "SYK_CRIGR" "chr_01"
"evgLocus_197614" 39.8312525137848 6.52918125958814 1.02456628686427 6.37262941724445 1.85814501387077e-10 1.70415835525502e-07 "PP4RS_CAEEL" "chr_10"
"evgLocus_768882" 57.4264273190882 -4.1519652700162 0.652463455485258 -6.3635215660136 1.97179692446971e-10 1.70415835525502e-07 "." "chr_01"
"evgLocus_884956" 277.167615885398 5.73035544444603 0.8999435798586 6.36746077498146 1.92183175552991e-10 1.70415835525502e-07 "ACT5C_ANOGA" "chr_15"
"evgLocus_82983" 43.4614570792598 6.64944203290456 1.07838565291942 6.1661076581491 6.99914409586791e-10 5.67105650367698e-07 "VCP_APIME" "chr_01"
