"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "uniprot" "chr"
"evgLocus_462821" 2898.11283343572 -12.9469388184511 1.5625946988533 -8.28553867996103 1.1757568947109e-16 1.40843918417418e-12 "." NA
"evgLocus_271036" 351.151656870925 -9.50514698037735 1.29572032130504 -7.3358014257304 2.20398599427632e-13 1.3200774112718e-09 "GAGXE_DROME" NA
"evgLocus_237435" 10723.6968960797 -14.1493015220945 2.0975680367202 -6.74557452935765 1.52422669601858e-11 6.0862371972022e-08 "EF1A_BOMMO" "chr_10"
"evgLocus_271754" 764.15084777349 -8.39212663855771 1.27489220603406 -6.58261663130247 4.62239936324035e-11 1.3842930493064e-07 "BAEE_BOMMO" "chr_08"
"evgLocus_34693" 116.698339252801 -7.90864259515962 1.22754249642611 -6.44266297760362 1.17395190817565e-10 2.81255398160722e-07 "." NA
"evgLocus_262259" 27653.8328125116 -14.8788209963072 2.31961918774892 -6.41433778220569 1.41436300880031e-10 2.82377574706982e-07 "." "chr_29"
"evgLocus_606982" 86.2409652709259 -7.86902651189038 1.28989463824206 -6.10051881649398 1.0572473486282e-09 1.80925228417388e-06 "." "chr_29"
"evgLocus_311201" 2962.4953193148 10.8835294997617 1.79586089450109 6.06034105040483 1.35833224128622e-09 2.03393273979596e-06 "." "chr_13"
"evgLocus_245510" 411.227970647422 -10.1276194770149 1.67954711781229 -6.02997044239326 1.6398966929835e-09 2.18270249836104e-06 "." NA
"evgLocus_182803" 106.507817331373 -7.75106173808153 1.31886531131992 -5.87706847056602 4.17595513131809e-09 3.63705106284492e-06 "VCP_APIME" "chr_01"
"evgLocus_222545" 63.0421935758047 -7.41375024647147 1.26210156390493 -5.87413125733984 4.25066490356698e-09 3.63705106284492e-06 "PCBP3_MOUSE" NA
"evgLocus_261739" 138.933024255005 -8.55945876241999 1.44868220027208 -5.90844476505092 3.45352567255919e-09 3.63705106284492e-06 "HEXC_BOMMO" "chr_19"
